City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,genhe,50.7833,121.5167,-19.090000000000003,86,71,1.85,CN,1707273190
108,letlhakane,-21.4167,25.5833,22.75,47,31,1.57,BW,1707273328
109,keflavik,64.0049,-22.5624,-2.8999999999999773,80,75,10.8,IS,1707273329
110,merizo village,13.2658,144.6691,27.45999999999998,75,100,8.15,GU,1707273329
111,dapa,9.7594,126.0531,24.910000000000025,80,98,4.18,PH,1707273329
112,afaahiti,-17.75,-149.2833,25.079999999999984,89,100,10.63,PF,1707273329
113,pisco,-13.7,-76.2167,23.180000000000007,78,0,4.63,PE,1707273043
114,dunay,42.8803,132.3375,-9.230000000000018,58,1,8.98,RU,1707273330
115,elliot lake,46.3834,-82.6331,-3.240000000000009,95,100,1.44,CA,1707273330
116,san luis de la loma,17.2706,-100.8939,22.50999999999999,82,16,0.34,MX,1707273330
117,port saint john's,-31.6229,29.5448,20.779999999999973,83,78,1.75,ZA,1707273043
118,cabo san lucas,22.8909,-109.9124,21.75999999999999,77,75,5.14,MX,1707273148
119,nuuk,64.1835,-51.7216,-8.509999999999991,73,75,15.43,GL,1707273331
120,shiyan,32.6475,110.7781,1.6499999999999773,65,100,1.86,CN,1707273173
121,yichang,30.7144,111.2847,2.990000000000009,75,100,1.28,CN,1707273332
122,ancud,-41.8697,-73.8203,11.170000000000016,71,98,6.24,CL,1707273332
123,vilyuchinsk,52.9306,158.4028,-7.699999999999989,78,100,0.72,RU,1707273332
124,port alfred,-33.5906,26.891,19.920000000000016,91,100,3.13,ZA,1707273333
125,beau vallon,-20.4189,57.6953,24.939999999999998,88,75,3.09,MU,1707273333
126,kargasok,59.0556,80.8572,-8.54000000000002,97,100,3.13,RU,1707273140
127,nemuro,43.3236,145.575,-7.160000000000025,65,65,2.61,JP,1707273333
128,crane,31.3974,-102.3501,11.970000000000027,48,100,10.17,US,1707273334
129,olonkinbyen,70.9221,-8.7187,-5.660000000000025,91,91,8.59,SJ,1707273334
130,flin flon,54.7682,-101.865,-16.75,96,86,3.0,CA,1707273334
131,longyearbyen,78.2186,15.6401,-10.939999999999998,62,75,8.23,SJ,1707273335
132,coquimbo,-29.9533,-71.3436,17.0,94,0,2.06,CL,1707273296
133,queenstown,-31.8976,26.8753,17.480000000000018,46,17,1.94,ZA,1707273335
134,ain sukhna,29.6002,32.3167,11.480000000000018,70,0,2.22,EG,1707273335
135,petropavlovsk-kamchatsky,53.0452,158.6483,-8.519999999999982,76,75,1.79,RU,1707273064
136,qaqortoq,60.7167,-46.0333,-15.699999999999989,65,2,4.93,GL,1707273336
137,livingston,55.9029,-3.5226,-0.4700000000000273,76,100,2.17,GB,1707273336
138,egilsstadir,65.2653,-14.3948,-8.899999999999977,93,75,1.54,IS,1707273336
139,dwarka,22.2394,68.9678,20.639999999999986,71,86,4.7,IN,1707273337
140,sengkang,-4.1279,120.0297,30.269999999999982,57,92,2.46,ID,1707273337
141,ivdel',60.6911,60.4206,-16.189999999999998,96,100,3.58,RU,1707273337
142,sitka,57.0531,-135.33,1.089999999999975,87,40,0.0,US,1707273337
143,chililabombwe,-12.3648,27.8229,14.149999999999977,97,51,1.49,ZM,1707273337
144,papatowai,-46.5619,169.4708,15.259999999999991,53,16,4.37,NZ,1707273338
145,utrik,11.2278,169.8474,24.889999999999986,80,87,6.62,MH,1707273338
146,paracuru,-3.41,-39.0306,25.180000000000007,83,98,5.19,BR,1707273338
147,beli,7.8587,10.9719,19.100000000000023,24,60,0.33,NG,1707273338
148,ribeira grande,38.5167,-28.7,15.800000000000011,91,87,9.39,PT,1707273339
149,pizarro,4.9533,-77.366,24.100000000000023,87,81,1.27,CO,1707273339
150,blackmans bay,-43.0167,147.3167,20.110000000000014,42,35,1.34,AU,1707273339
151,qamdo,31.1667,97.2333,-7.639999999999986,32,2,3.45,CN,1707273340
152,mili,6.0815,171.735,26.00999999999999,73,93,7.85,MH,1707273246
153,walvis bay,-22.9575,14.5053,17.680000000000007,88,77,0.0,NA,1707273340
154,vorgashor,67.5833,63.95,-28.419999999999987,98,67,2.44,RU,1707273341
155,aasiaat,68.7098,-52.8699,-10.649999999999977,80,100,7.17,GL,1707273341
156,princeville,45.7668,-61.2985,-2.6100000000000136,92,100,1.54,CA,1707273341
157,kaa-khem,51.6833,94.7333,-30.50999999999999,99,68,0.5,RU,1707273341
158,port lincoln,-34.7333,135.8667,18.319999999999993,61,23,4.64,AU,1707273341
159,whitehorse,60.7161,-135.0538,-16.24000000000001,82,75,2.57,CA,1707273151
160,pudozh,61.8099,36.5345,-28.55000000000001,100,84,1.79,RU,1707273244
161,saudarkrokur,65.7461,-19.6394,-5.9599999999999795,77,67,3.48,IS,1707273342
162,labrador city,52.9463,-66.9114,-15.899999999999977,70,75,3.09,CA,1707273343
163,wailua homesteads,22.0669,-159.378,24.389999999999986,66,75,8.75,US,1707273343
164,deal,51.2232,1.4043,9.129999999999995,94,100,7.7,GB,1707273343
165,bumba,2.1833,22.4667,18.600000000000023,47,1,0.77,CD,1707273343
